run_id,w_in_l1_sum,w_in_l0,w_rec_l1_sum,w_rec_l0,w_out_l1_sum,w_out_l0
run_023_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp1.0,2174.027587890625,13278,2489.8505859375,9873,1246.8084716796875,1681
run_024_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001,851.627197265625,11361,300.693115234375,9108,738.4592895507812,1574
run_025_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,1911.534423828125,13249,2143.526123046875,9891,1141.36083984375,1683
run_026_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.0001,718.527587890625,12673,403.5738525390625,9370,527.4296875,1624
run_027_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp1.0,2406.197021484375,13262,2642.45703125,9925,1294.65673828125,1688
run_028_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.0001,487.0973205566406,9339,457.6365966796875,8806,339.36224365234375,1347
run_029_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp1.0,2204.925537109375,13265,2635.25927734375,9934,1273.7154541015625,1682
run_030_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.0001,1167.1583251953125,12790,598.8347778320312,9456,963.0723266601562,1626
run_031_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,1989.6524658203125,13274,2286.4326171875,9924,1157.2310791015625,1678
run_032_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.0001,853.1593017578125,12060,539.96630859375,9082,687.7655029296875,1610
run_033_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,2212.81494140625,13252,2304.84912109375,9898,1266.437744140625,1684
run_034_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.0001,882.0845336914062,12565,612.2614135742188,9211,724.9195556640625,1588
run_035_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,2377.947021484375,13294,2551.836181640625,9938,1213.8541259765625,1686
run_036_l1-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,140.4398193359375,12410,1.9026216268539429,9323,137.3644561767578,1636
run_037_l1-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp1.0,660.2025756835938,12924,737.4274291992188,9564,291.9275207519531,1643
run_038_l1-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,322.9359130859375,9419,292.5013427734375,9060,110.05583953857422,1409
run_039_l1-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp1.0,698.5704956054688,12939,778.83154296875,9589,280.669189453125,1621
