run_id,cohort,task,samp_frac,final_acc,steps_to_crit,total_train_steps
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.rtantictxgo,0.04995,0.999999999999464,2519,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.antictxgo,0.04994833333333333,0.9999736258042776,5965,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.go,0.04992833333333333,0.999999998826376,3862,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dm1,0.049805,0.9530386026583292,7442,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlyctxgo,0.04967,0.999988285840856,11253,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dm2,0.04961,0.9345521231645476,17612,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlydm1,0.04953333333333333,0.8386134194526225,167790,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.antidm1,0.04949,0.9312994791284724,18222,600000
run_151_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlyantictxgo,0.048795,0.9997151285513446,18079,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlyms,0.05103666666666667,0.923557822103396,4537,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlynms,0.05042,0.9727335422995402,7124,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.go,0.05040666666666667,0.9995223796539529,3140,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.catdlyms,0.05026666666666667,0.9921767482586464,9922,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.rtgo,0.05026666666666667,0.9999999999999994,2055,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.rtantictxgo,0.05026166666666667,0.9999999999999994,2502,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.antigo,0.050255,0.994888196140671,5851,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlyctxgo,0.050236666666666666,0.9934850546994304,16866,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.antidlydm1,0.05012833333333333,0.7789189389374532,111253,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.antictxgo,0.050078333333333336,0.999857622975378,5897,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.multidm,0.049951666666666665,0.977717085929546,3525,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dm2,0.04992166666666667,0.9225730955461378,32849,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dm1,0.04983,0.973352000938267,8076,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.catdlynms,0.04978833333333333,0.9816502843061612,13894,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.ctxgo,0.04973166666666667,0.9943749818354848,11308,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlyantictxgo,0.049653333333333334,0.98717508569561,17916,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlydm1,0.04962333333333333,0.79563881082688,112963,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.antidm1,0.04956833333333333,0.9352995639335376,31228,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlyantigo,0.04928833333333334,0.9625581989167518,17696,600000
run_157_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0,C-both,poli.dlygo,0.049286666666666666,0.9991973277010728,10963,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlynms,0.050535,0.886196048237188,6743,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlyms,0.050488333333333336,0.9703138811961955,4190,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.antictxgo,0.050485,0.9934130818113736,4365,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.rtantictxgo,0.05035333333333333,0.9999999999999994,2309,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.multidm,0.05031833333333333,0.9746407820333,5779,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlyctxgo,0.050293333333333336,0.9591907191184804,13074,600000
