density,modularity,modularity_louvain,modularity_leiden,efficiency,rich_club,small_worldness,participation,full_id,dataset,age
0.135,0.5285851680245656,0.5285851680245656,0.5536216155153838,0.5603597538682491,1.3898937541212344,-0.08217484822633114,0.2807827863592393,Subj_673,HCPya,35.0
0.135,0.5532361222243881,0.5532361222243881,0.5619507427902939,0.6366322228693413,1.3299342109533827,-0.1495985017192697,0.2754935203888035,Subj_674,HCPya,22.0
0.135,0.5409766300435083,0.5409766300435083,0.5483178619043585,0.57955677747794,1.4714186008139782,-0.09460887476499402,0.321748682118785,Subj_675,HCPya,27.0
0.135,0.5353044108030224,0.5353044108030224,0.5422659679735435,0.6163662971651671,1.4337027215705604,-0.12131981458039531,0.3640421110033576,Subj_676,HCPya,35.0
0.135,0.5812911103720585,0.5812911103720585,0.5705839470762644,0.5904971559821933,1.2703474281296179,-0.0838332772819892,0.33064278073333997,Subj_677,HCPya,27.0
0.135,0.5257557694831989,0.5257557694831989,0.5287272167936882,0.5628415423025694,1.421050868668691,-0.020750536477341597,0.3325119849531823,Subj_678,HCPya,23.0
0.135,0.5368644061941188,0.5368644061941188,0.5467306617526456,0.5858562770926024,1.3669453694425866,-0.12914366015072032,0.31252670198562776,Subj_679,HCPya,32.0
0.135,0.5912543341578501,0.5912543341578501,0.5961261639084056,0.5944344098590074,1.3189592838363713,-0.11629228719817142,0.32009349435080475,Subj_680,HCPya,32.0
0.135,0.547515866419729,0.547515866419729,0.5500463235577862,0.6012153978841103,1.4663106259159595,-0.08663644426922412,0.30927561147480787,Subj_681,HCPya,33.0
0.135,0.5360298047543736,0.5360298047543736,0.5310479956537727,0.5835946968850025,1.3309668424891152,-0.026604091406074892,0.3156303942770535,Subj_682,HCPya,33.0
0.135,0.5563638337456895,0.5563638337456895,0.5579683620722895,0.6118687359221586,1.3977520333275257,-0.011404283437378981,0.3232336829598141,Subj_683,HCPya,31.0
0.135,0.5671426170866758,0.5671426170866758,0.5679557502232774,0.6103400889245749,1.379735230812249,-0.13142750932090952,0.3564850086630583,Subj_684,HCPya,29.0
0.135,0.5330970161444835,0.5330970161444835,0.5301751891633171,0.6120583347275348,1.3313828904969065,-0.03331592099152425,0.376133816419382,Subj_685,HCPya,27.0
0.135,0.5503113424564386,0.5503113424564386,0.5549537678740972,0.5938545451127794,1.4142161012867538,-0.1372637861842474,0.2792813807574424,Subj_686,HCPya,28.0
0.135,0.5460591432683943,0.5460591432683943,0.5495317519374718,0.6385574950738726,1.3250827222924833,-0.10008885797648137,0.3190665120476799,Subj_687,HCPya,31.0
0.135,0.564368873769324,0.564368873769324,0.5679365993886771,0.5823551851914452,1.4384019267393107,-0.0836612434350954,0.31677536788880384,Subj_688,HCPya,28.0
0.135,0.5670786742395679,0.5670786742395679,0.5748752641191927,0.6305651422820264,1.274904762511852,-0.15521059164101247,0.3334328253401592,Subj_689,HCPya,32.0
0.135,0.5595225529246064,0.5595225529246064,0.549606308228078,0.573704865967267,1.6149373762884807,-0.0638023408265519,0.3469622587822977,Subj_690,HCPya,32.0
