density,modularity,modularity_louvain,modularity_leiden,efficiency,rich_club,small_worldness,participation,run_id,path
0.135,0.2199046382457577,0.2199046382457577,0.22517607236099793,0.2806870238678252,1.0293512804774279,0.1415349908300786,0.2998575905379038,run_026_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_026_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.0001
0.135,0.3048541531147198,0.3048541531147198,0.31008262941008935,0.5470449554087833,1.0343489538971595,0.5443972004938735,0.5719334433158756,run_027_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_027_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp1.0
0.135,0.2132581662845327,0.2132581662845327,0.2128584328627057,0.30600309394885317,1.123701260966043,0.09169403660107678,0.3308570717634406,run_028_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_028_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.0001
0.135,0.2970610529634636,0.2970610529634636,0.3035530345662085,0.539886130429948,1.0383195689369993,0.5353904311976114,0.48689028463543943,run_029_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_029_l1-1e-05_beta0.001_alpha0.1_trav50_blk1_temp1.0
0.135,0.2027749478864401,0.2027749478864401,0.2156382465817113,0.319573053487075,1.0297007730375891,0.21396564817671437,0.3214330944779667,run_030_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_030_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.0001
0.135,0.30003247258249316,0.30003247258249316,0.3168845968688769,0.551283242200435,1.0766625485533707,0.5231571480603651,0.5508823871573119,run_031_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_031_l1-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0
0.135,0.23037086715855554,0.23037086715855554,0.23474473699838516,0.3541427614360688,1.0781133651830075,0.18977108140999155,0.3918757605572314,run_032_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_032_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.0001
0.135,0.3108619932356981,0.3108619932356981,0.3222536610015104,0.5337626067934096,1.0140630298287034,0.5059061941398224,0.4812320604120781,run_033_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_033_l1-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0
0.135,0.22901726626533866,0.22901726626533866,0.23360076192224338,0.3714002606817551,1.1128980595969709,0.19768717908832645,0.43192175863925064,run_034_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_034_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.0001
0.135,0.30918834750667046,0.30918834750667046,0.3111583234180584,0.5822487200908056,1.0091356489894823,0.49391506769870014,0.4096424577845611,run_035_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_035_l1-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0
0.135,0.3357197756982695,0.3357197756982695,0.3357197756982695,0.5890316129782129,2.0675843697245844,0.5614556467910318,0.08996289876631611,run_036_l1-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_036_l1-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp0.0001
0.135,0.23336485174922003,0.23336485174922003,0.24530149171401078,0.3475000660427003,1.0325916835998665,0.3035002189098688,0.3828935553666703,run_037_l1-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_037_l1-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp1.0
