run_id,reg_type,reg_value,l1,beta,alpha,temp,travel,eps,peak_fraction,pruning_fraction,correlation,age_cap,peak_age,decay_rate,modularity,modularity_louvain,modularity_leiden,efficiency,rich_club,small_worldness,participation,z_mod,z_eff,z_rc,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,beta0,beta1,std_X,mean_accuracy,fraction_solved,n_tasks_solved,n_tasks_total,mean_speed,switch_rate,entropy,dist_synaptic,dist_network,dist_cognitive,norm_dist_synaptic,norm_dist_network,norm_dist_cognitive,grand_distance,human_syn_peak,human_syn_decay,human_syn_corr,human_net_modularity,human_net_efficiency,human_net_rich_club,human_cog_baseline_stay,human_cog_reward_mod,human_cog_timescale_bal,path
run_014_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp0.0001,L1,1e-06,1e-06,0.003,0.03,0.0001,50,0.0,0.548744022541593,0.0293275629432194,0.858702131905321,21,11.5236244733735,0.0037982834505774,0.2414396268857839,0.2414396268857839,0.2369936199045158,0.4927256030910563,1.0971842272043208,0.4883688426163874,0.4811691091621137,-15.02183163792486,-5.278410858937409,-3.540886598973582,0.9943929400946944,0.0799240113735322,0.0625,1.0,15.0,-5.178105939402467,-31.358351320406285,0.0873664161054529,0.808,0.6,12.0,20.0,322.9,8.81,2.6158,0.617643363258955,16.311190173028436,0.3681093172364828,0.43296082000159875,0.7184575586730813,0.4960497099713641,0.9745263721591199,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_014_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp0.0001
run_015_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp1.0,L1,1e-06,1e-06,0.003,0.03,1.0,50,0.0,1.0,0.0,0.998323997419695,3,3.0,0.0,0.323537857242584,0.323537857242584,0.3317410948158033,0.570539608913144,1.0538033142054766,0.5793732002755936,0.4363224915373399,-11.058873834711177,-1.5277707077369522,-4.061656485361573,0.4989005763379658,0.0073539515453425,0.0909090909090909,5.0,50.0,0.0043977017356716,-0.492925764513924,0.0298386499704187,0.9683,1.0,20.0,20.0,1254.2,19.23,2.9957,1.02055961764785,11.879807541898913,0.47626960524716894,0.7154004320322871,0.5232688377438043,0.641802281248043,1.0943117576453827,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_015_l1-1e-06_beta0.003_alpha0.03_trav50_blk1_temp1.0
run_016_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp0.0001,L1,1e-06,1e-06,0.003,0.1,0.0001,50,0.0,0.332625603417176,0.0930195972795201,0.99745974957657,9,2.99363043075458,0.0175353204302292,0.2868571660031084,0.2868571660031084,0.280703930101181,0.5055242441336777,1.0872668601537243,0.4711932970118345,0.491067471791673,-12.829484856934158,-4.66151552668821,-3.6599404813191367,0.9907026810402132,0.2768445917835944,0.25,1.0,3.0,-4.668688395479724,-58.298045806965504,0.0636327980872617,0.8546,0.75,15.0,20.0,521.2,11.5,2.8021,0.390205462643942,14.1322529352774,0.1888129335038914,0.27352949472978066,0.6224821018406863,0.25443692000677565,0.7259755490797621,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_016_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp0.0001
run_017_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp1.0,L1,1e-06,1e-06,0.003,0.1,1.0,50,0.0,1.0,0.0,0.998261317281208,3,3.0,0.0,0.3042915903965146,0.3042915903965146,0.3190191594112741,0.5598646362647864,1.0259356153207355,0.5624350608631123,0.5418315621993098,-11.987909004517928,-2.0423050849985294,-4.396196663953204,0.4933216185651418,0.0341572706992719,0.0021382751247327,15.0,7000.0,0.0267151145015628,-6.768164212722972,0.0100992404327442,0.9753,1.0,20.0,20.0,1029.0,19.24,2.9957,1.02055972250843,12.930874582524035,0.5030009551712736,0.7154005055383351,0.5695650952209532,0.6778244022759565,1.1382654353617687,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_017_l1-1e-06_beta0.003_alpha0.1_trav50_blk1_temp1.0
run_018_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,L1,1e-05,1e-05,0.0001,0.01,0.0001,50,0.0,0.0517919075356892,0.985768594998623,0.266931709994828,75,3.88439306517669,0.0215075594469377,0.0111594239152545,0.0111594239152545,0.0149054334099646,0.3000207738072969,0.8253558643089954,0.4047171028614049,0.2986889443404252,-26.137670838374838,-14.566796187594244,-6.804073467949893,0.9943771559570874,0.0113553279149406,0.125,1.0,7.0,-5.175278973883168,-8.596922204825384,0.1041854300822303,0.1076,0.05,1.0,20.0,353.1,5.87,2.1378,0.967468907364067,30.686557379142425,0.3900782267905699,0.6781844610913078,1.0,0.5256541527344661,1.3176670488225382,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_018_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.0001
run_019_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp1.0,L1,1e-05,1e-05,0.0001,0.01,1.0,50,0.0,0.583730481100915,0.0493499375672833,0.849938375762085,18,10.5071486598165,0.0084798394008091,0.2771731893520092,0.2771731893520092,0.2927969906388078,0.5096818697259452,1.057894691515813,0.4769394429380003,0.39525873578071,-13.296939400945947,-4.461117702218534,-4.012541195945442,0.5014887212060034,0.0,0.1666666666666666,1.0,5.0,-0.005954902421116,0.0317364896450648,0.1161265162753193,0.976,1.0,20.0,20.0,1130.2,19.23,2.9957,0.638772939804107,14.588031239157516,0.45735406808633733,0.44777240761261955,0.6425577286973541,0.6163124436285426,0.996605033049347,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_019_l1-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp1.0
run_020_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,L1,1e-05,1e-05,0.0001,0.03,0.0001,50,0.0,0.0517919075356892,1.01846263686995,0.748130307258003,75,3.88439306517669,0.0653990364396645,0.1963747354986109,0.1963747354986109,0.19313726075726,0.2514066817245691,1.0514826440694762,0.0598560776813689,0.3138275089900936,-17.197155785566274,-16.909998593810418,-4.089515168813005,0.988934393532106,0.6579824749035368,0.0625,1.0,15.0,-4.492786211685471,-27.8314933244876,0.1849484529344457,0.6557,0.2,4.0,20.0,515.3,11.1,2.5529,0.710206429503393,24.462509149137944,0.43058554576763414,0.4978464537621476,1.0,0.5802402305364077,1.2587810836902855,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_020_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001
run_021_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp1.0,L1,1e-05,1e-05,0.0001,0.03,1.0,50,0.0,0.730156418496353,0.0173527054972687,0.974239850501487,9,6.57140776646717,0.0093944926038309,0.294072276678586,0.294072276678586,0.3131962331261956,0.55101992643713,1.0292411395781016,0.4575930130248499,0.4658644857205384,-12.481204765777894,-2.4686206750373216,-4.356515214832778,0.4995094942196626,0.0,0.3333333333333333,1.0,2.0,0.0019620237507559,0.0902281162353402,0.0759679992266359,0.979,1.0,20.0,20.0,1258.0,19.23,2.9957,0.765850026943684,13.44818892117329,0.45286791448470953,0.5368519689326985,0.5923511943878369,0.6102670786003469,1.0057414584588893,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_021_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp1.0
run_022_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,L1,1e-05,1e-05,0.0001,0.1,0.0001,50,0.0,0.0920586035222184,1.03821240825936,0.700494942350035,45,4.14263715849983,0.0417523658690781,0.2491327235176147,0.2491327235176147,0.2510226673387572,0.2675890854232309,1.0227306426431404,0.0781774309429028,0.2812271346094122,-14.650478720870593,-16.130005681044736,-4.434671033020363,0.986785282026718,0.7676656181283097,0.25,1.0,3.0,-4.313121263275015,-49.57022530687188,0.1111272355943767,0.7002,0.35,7.0,20.0,438.8,13.19,2.7071,0.748068364510114,22.236904397697252,0.4783224000860756,0.5243872302077358,0.9794669718481996,0.6445685472369481,1.2844477911669172,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_022_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp0.0001
run_023_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp1.0,L1,1e-05,1e-05,0.0001,0.1,1.0,50,0.0,0.73403412327754,0.0174765740231119,0.91922453642944,12,8.80840947933048,0.007240185884496,0.3057612359054691,0.3057612359054691,0.3089636000066862,0.5551003581677969,1.0474292248109798,0.5404425920159031,0.505757210208225,-11.916967851312098,-2.2719435997269626,-4.13817478754409,0.4937728835679264,0.0322721933251683,0.1666666666666666,20.0,100.0,0.0249097536815646,-9.668507771544274,0.0066790887100917,0.9732,1.0,20.0,20.0,1159.3,19.24,2.9957,0.773077107694602,12.81796945938833,0.440563604011873,0.5419180685530766,0.5645919731943402,0.5936862713356205,0.9822945983726916,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_023_l1-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp1.0
run_024_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001,L1,1e-05,1e-05,0.001,0.01,0.0001,50,0.0,0.0783565775201321,0.894620141784304,0.77918351203546,51,3.99618545352673,0.0602889399753413,0.2072400787785281,0.2072400787785281,0.2106280051818849,0.297854084436024,1.0916866108651624,0.0700485281886622,0.3272004504836237,-16.672675577544627,-14.67123075647707,-3.6068832052788613,0.9966009678744384,0.0067594256683535,0.25,1.0,3.0,-5.680859734879522,-11.287956002804302,0.0781128129387772,0.674,0.35,7.0,20.0,454.4,4.14,2.0347,0.58460772044889,22.499616202957206,0.36916877613518523,0.40980321829945127,0.9910386156240026,0.4974773953213937,1.1821928667701753,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_024_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001
run_025_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,L1,1e-05,1e-05,0.001,0.01,1.0,50,0.0,0.630391871242854,0.0217110336958867,0.859781662481635,18,11.3470536823714,0.0040923880785466,0.2912907578501739,0.2912907578501739,0.2877806872881507,0.5169960552467299,1.0594740606563378,0.475184524177995,0.452666953251497,-12.615471262119353,-4.108573483504156,-3.9935815237988983,0.5005660127767376,0.0,0.0001428367376089,1.0,7000.0,-0.0022640520740644,0.0002148073995351,0.1358256429107922,0.9777,1.0,20.0,20.0,1045.3,19.23,2.9957,0.689525736191996,13.855655329934441,0.5201181167658326,0.48334952808151016,0.6102988314501464,0.7008908193616701,1.0475396749677341,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_025_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0
run_025_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,L1,1e-05,1e-05,0.001,0.01,1.0,50,0.0,0.630391871242854,0.0217110336958867,0.859781662481635,18,11.3470536823714,0.0040923880785466,0.2912907578501739,0.2912907578501739,0.2877806872881507,0.5169960552467299,1.0594740606563378,0.475184524177995,0.452666953251497,-12.615471262119353,-4.108573483504156,-3.9935815237988983,0.5005660127767376,0.0,0.0001428367376089,1.0,7000.0,-0.0022640520740644,0.0002148073995351,0.1358256429107922,0.9777,1.0,20.0,20.0,1045.3,19.23,2.9957,0.689525736191996,13.855655329934441,0.5201181167658326,0.48334952808151016,0.6102988314501464,0.7008908193616701,1.0475396749677341,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_025_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0
run_026_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.0001,L1,1e-05,1e-05,0.001,0.03,0.0001,50,0.0,0.131796821509023,1.01120355413019,0.921116690580039,24,3.16312371621656,0.100924275522733,0.2199046382457577,0.2199046382457577,0.2251760723609979,0.2806870238678252,1.029351280477428,0.1415349908300786,0.2998575905379038,-16.061345533683774,-15.498684194517399,-4.355193018971422,0.9932402980620818,0.1636325994313425,0.0476190476190476,1.0,20.0,-4.98999382971709,-30.8339072299317,0.1089798620927227,0.6592,0.25,5.0,20.0,466.3,8.79,2.3525,0.667383592504861,22.740794584760327,0.32785174253890476,0.46782814267101747,1.0,0.44180017778673036,1.1891385824063572,3.24,0.031,1.0,0.5526379427475702,0.6022360537743254,1.3921453943221984,0.8085828347797086,0.3240631874134403,0.2659087926361548,logs/sweep/forage_v5/run_026_l1-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.0001
