"dataset","subj_id","nseq","ntrialseq","ntrialsubj","event","D","I","H"
"MPI",2,6,3,21,0,0.0148736716970261,1.22239242133645,1.75
"MPI",2,6,4,22,1,0.00892394016177786,1,1.65774272650489
"MPI",2,9,0,23,0,0.0780719051126377,2,1.92192809488736
"MPI",2,9,1,24,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",2,9,2,25,1,0.0633218643778377,2.58496250072116,1.95021206491475
"MPI",2,11,1,26,0,0.0780719051126377,2,1.92192809488736
"MPI",2,11,2,27,1,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",2,14,0,28,0,0.0780719051126377,2,1.92192809488736
"MPI",2,14,1,29,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",2,14,2,30,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",2,14,3,31,0,0.0148736716970261,1.22239242133645,1.75
"MPI",2,14,4,32,1,0.00892394016177787,1,1.65774272650489
"MPI",3,0,0,1,0,0.0780719051126377,2,1.92192809488736
"MPI",3,0,1,2,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",3,0,2,3,0,0.0147718639657485,1,1.66449777920046
"MPI",3,0,3,4,0,0.00855998136220558,0.807354922057604,1.5487949406954
"MPI",3,0,4,5,0,0.00543126911355016,0.678071905112638,1.44661666762821
"MPI",3,0,5,6,0,0.00367160149046366,0.584962500721156,1.35677964944704
"MPI",3,0,6,7,0,0.00260198748089857,0.514573172829758,1.27761343681912
"MPI",3,0,7,8,0,0.00191286899787533,0.459431618637297,1.20751874963942
"MPI",3,0,8,9,0,0.00144823907625648,0.415037499278844,1.14511041438158
"MPI",3,0,9,10,0,0.00112327902986537,0.37851162325373,1.08923007884258
"MPI",3,0,10,11,0,0.000889032116172857,0.347923303420307,1.03892059503159
"MPI",3,0,11,12,0,0.000715834762216514,0.321928094887362,0.993392729010363
"MPI",3,0,12,13,0,0.000584973739729192,0.299560281858908,0.951994081908783
"MPI",3,0,13,14,0,0.000484234433789274,0.280107919192735,0.914182838435214
"MPI",3,0,14,15,0,0.000405407486289974,0.263034405833794,0.879506460812006
"MPI",3,1,0,16,0,0.0780719051126377,2,1.92192809488736
"MPI",3,1,1,17,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",3,1,2,18,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",3,1,3,19,0,0.0148736716970261,1.22239242133645,1.75
"MPI",3,1,4,20,1,0.00892394016177786,1,1.65774272650489
"MPI",3,2,0,21,0,0.0780719051126377,2,1.92192809488736
"MPI",3,2,1,22,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",3,2,2,23,1,0.0147718639657485,1,1.66449777920046
"MPI",3,3,0,24,0,0.0780719051126377,2,1.92192809488736
"MPI",3,3,1,25,1,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",3,6,0,26,0,0.0780719051126377,2,1.92192809488736
"MPI",3,6,1,27,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",3,6,2,28,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",3,6,3,29,0,0.0148736716970261,1.22239242133645,1.75
"MPI",3,6,4,30,0,0.00892394016177786,1,1.65774272650489
"MPI",3,6,5,31,1,0.00581755005522628,0.84799690655495,1.57095059445467
"MPI",3,7,0,32,0,0.0780719051126377,2,1.92192809488736
"MPI",3,7,1,33,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",3,7,2,34,1,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",3,8,0,35,0,0.0780719051126377,2,1.92192809488736
"MPI",3,8,1,36,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",3,8,2,37,0,0.0147718639657485,1,1.66449777920046
"MPI",3,8,3,38,1,0.00855998136220559,0.807354922057604,1.5487949406954
"MPI",3,9,0,39,0,0.0780719051126377,2,1.92192809488736
"MPI",3,9,1,40,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",3,9,2,41,0,0.0633218643778377,2.58496250072116,1.95021206491475
"MPI",3,9,3,42,0,0.0267158598280377,1.8073549220576,1.90563906222957
"MPI",3,9,4,43,0,0.0145361093482848,1.41503749927884,1.83659166810898
"MPI",3,9,5,44,0,0.0479969065549502,3.16992500144231,1.92192809488736
"MPI",3,9,6,45,0,0.0088274284715933,1.32192809488736,1.85855521187031
"MPI",3,9,7,46,0,0.00598632083303802,1.13750352374993,1.79248125036058
"MPI",3,9,8,47,0,0.00427254791507444,1,1.72724860626392
"MPI",3,9,9,48,1,0.0184339033808786,2.70043971814109,1.77832835373141
"MPI",3,10,0,49,0,0.0780719051126377,2,1.92192809488736
"MPI",3,10,1,50,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",3,10,2,51,1,0.0283057932583333,1.58496250072116,1.84237099317711
"MPI",3,12,0,52,0,0.0780719051126377,2,1.92192809488736
"MPI",3,12,1,53,1,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",4,0,0,1,0,0.0780719051126377,2,1.92192809488736
