"subj_global","dataset","alpha_hl","beta_hl","T","eps","beta0","beta1","aic","signal_sd","tau_ratio","R_noise","stickiness","valid_mvt"
"238","Roris_smiley",2,3,0.00435071850268098,-0.0106171023797759,-2.4403101173366,-229.847092930463,35.6715165477531,0.00398952418008758,1.5,1.09053568954318,-2.4403101173366,TRUE
"24","MPI",2,3,0.00494586433135372,-0.0106187758132763,-2.14700102992309,-202.18912873542,50.2256045431727,0.00399319319658884,1.5,1.23857376487035,-2.14700102992309,TRUE
"240","Roris_smiley",1,12,0.0133707448909989,-0.0285689928158782,-2.13667922384121,-74.7901488026442,51.7891323216997,0.0187065451424994,12,0.714762923305483,-2.13667922384121,TRUE
"242","Roris_smiley",1,3,0.0091925592779517,-0.0290617821708864,-3.16144626236906,-108.783633563125,37.2294641757099,0.0134314875297377,3,0.68440366397237,-3.16144626236906,TRUE
"247","Roris_smiley",1,3,0.00915025566865864,-0.0299637691604427,-3.27463737030587,-109.286563808833,45.8242768779491,0.0134694272780452,3,0.679335169920204,-3.27463737030587,TRUE
"249","Roris_smiley",1,1,NA,NA,-2.12823170148074,NA,33.8552475006016,0,1,NA,-2.12823170148074,NA
"25","MPI",1,1,NA,NA,-1.42711635564007,NA,62.9246036078647,0,1,NA,-1.42711635564007,NA
"250","Roris_smiley",1,2,0.00698573813776505,-0.0190452528296984,-2.72630500229308,-143.14879548576,30.9936514790713,0.012093716658066,2,0.577633686589297,-2.72630500229308,TRUE
"251","Roris_smiley",1,6,0.0132885143562451,-0.045348928839477,-3.41264099384929,-75.2529570418107,47.8073427473367,0.0172018409162738,6,0.772505362706473,-3.41264099384929,TRUE
"252","Roris_smiley",1,20,0.0107590883488396,-0.0353455557297473,-3.2851812889481,-92.9446777995698,44.6705582126844,0.0193644829000876,20,0.555609380552625,-3.2851812889481,TRUE
"254","Roris_smiley",1,3,0.00513736594172902,-0.0142582474958115,-2.77540040120497,-194.652281216207,34.2254252033313,0.0135509199778658,3,0.379115657838762,-2.77540040120497,TRUE
"256","Roris_smiley",1,1,NA,NA,-2.42480272571814,NA,71.3560025327448,0,1,NA,-2.42480272571814,NA
"257","Roris_smiley",4,10,0.00229241599144138,0.00245214681420668,1.0696779395021,-436.221001656528,26.8836494469607,0.0040721379166336,2.5,0.562951461461427,1.0696779395021,TRUE
"258","Roris_smiley",1,2,0.00247438140984268,-0.0084614254360248,-3.41961243418926,-404.141413293102,20.7503991506859,0.0103585337348086,2,0.238873712553334,-3.41961243418926,TRUE
"259","Roris_smiley",1,20,0.00733777337375067,-0.0271136519589646,-3.69507895350897,-136.281123586794,43.1746436834198,0.0190858080977867,20,0.384462284025669,-3.69507895350897,TRUE
"26","MPI",3,4,0.00268880835192907,-0.00203236532343083,-0.755860982792888,-371.911965864936,57.0302095973778,0.00216724294011527,1.33333333333333,1.24065848925366,-0.755860982792888,TRUE
"261","Roris_smiley",2,20,0.0133596668726896,-0.0126267731361149,-0.945141316504458,-74.8521658159187,35.7912554029357,0.0108698680530766,10,1.22905510972678,-0.945141316504458,TRUE
"262","Roris_smiley",1,1,NA,NA,-1.96944064638106,NA,38.4340656344584,0,1,NA,-1.96944064638106,NA
"263","Roris_smiley",10,12,0.000527422623490579,-0.00171301810611022,-3.24790410918128,-1896.01271439935,50.0411917283867,0.000610273734392202,1.2,0.864239428583408,-3.24790410918128,TRUE
"264","Roris_smiley",2,3,0.00368031001227497,-0.00851966418153985,-2.31493112078171,-271.716240388633,52.164651387012,0.0043239314992218,1.5,0.851149009399741,-2.31493112078171,TRUE
"265","Roris_smiley",7,8,0.0004068583800337,-0.000793854438589752,-1.95118124032249,-2457.85769465328,33.1559192030041,0.000528532205988378,1.14285714285714,0.769789192453954,-1.95118124032249,TRUE
"266","Roris_smiley",8,9,0.000819883921688062,-0.00143216318150831,-1.74678773863454,-1219.68485238873,58.5288320925435,0.000530999586905463,1.125,1.54403871849721,-1.74678773863454,TRUE
"267","Roris_smiley",1,2,0.00435583013022479,-0.0168253512334946,-3.86271978715256,-229.577364154096,34.7624660709169,0.0103096222487606,2,0.422501428774312,-3.86271978715256,TRUE
"268","Roris_smiley",2,4,0.00891779021592136,-0.0188486137260703,-2.1135968967311,-112.135403030075,56.5215276049805,0.00644417418993962,2,1.38385306682793,-2.1135968967311,TRUE
"269","Roris_smiley",1,3,0.004917869978587,-0.0207460091814028,-4.21849485076535,-203.340064774815,47.337332540711,0.0135544259231351,3,0.362823922346503,-4.21849485076535,TRUE
"27","MPI",1,20,0.0361277602320306,-0.0271113028675969,-0.750428553928462,-27.6795459662459,68.1817899928954,0.0221397002903579,20,1.63180891151289,-0.750428553928462,TRUE
"270","Roris_smiley",2,4,0.0065458131751005,-0.0128214610941489,-1.95872701392093,-152.769407444117,37.581804676444,0.00596292297416018,2,1.09775242837552,-1.95872701392093,TRUE
"271","Roris_smiley",1,15,0.0134952596713176,-0.0104077193768943,-0.771212976287855,-74.10009324425,25.5906907134985,0.0201837131334591,15,0.668621258243415,-0.771212976287855,TRUE
"272","Roris_smiley",6,7,0.000260593059454159,0.000423503745137387,1.62515358630219,-3837.40074311499,23.5616190258258,0.00050551346801308,1.16666666666667,0.515501714481357,1.62515358630219,TRUE
"273","Roris_smiley",1,13,0.00939570987970761,-0.00560632079048225,-0.596689431906631,-106.431553634894,27.1005644156606,0.0178779195274559,13,0.52554828123475,-0.596689431906631,TRUE
"274","Roris_smiley",1,14,0.00407103670178637,-0.0112898295730137,-2.77320751445442,-245.637677390921,31.9136206706464,0.0181286869854147,14,0.224563240849251,-2.77320751445442,TRUE
"28","MPI",1,1,NA,NA,-2.49320545260181,NA,72.6686847844095,0,1,NA,-2.49320545260181,NA
"29","MPI",5,6,0.00181737620471988,-0.00238791988881592,-1.31393812828312,-550.243806099648,71.7451235602726,0.00103378533802106,1.2,1.75798218245077,-1.31393812828312,TRUE
"3","MPI",1,2,0.0117211383729369,-0.0201592908216671,-1.71990895254791,-85.3159452761781,48.1469068430556,0.0107585768245616,2,1.08946922665252,-1.71990895254791,TRUE
"30","MPI",5,18,0.00420921797961064,0.00330666286563396,0.785576532660309,-237.573821276061,52.4217564755516,0.00413311104642773,3.6,1.01841395799145,0.785576532660309,TRUE
"31","MPI",1,2,0.00973917258399604,-0.0110429230678205,-1.13386665782747,-102.678127056015,28.3874120232511,0.0105607875623523,2,0.922201353497048,-1.13386665782747,TRUE
"32","MPI",5,7,0.00291656071641083,-0.00674158425180095,-2.31148428142351,-342.869597870267,66.8421185858101,0.00206009029936231,1.4,1.41574411437869,-2.31148428142351,TRUE
"33","MPI",1,8,0.0194148250736955,-0.0299952469508825,-1.54496611929417,-51.5070311581055,54.218369826648,0.0172569659212888,8,1.12504278922778,-1.54496611929417,TRUE
"34","MPI",1,20,0.0108553194250608,-0.0408967061033401,-3.76743460988582,-92.1207346226382,49.8220389835677,0.0189498111566755,20,0.572845783808079,-3.76743460988582,TRUE
"35","MPI",3,4,0.000763876087615916,0.00070477811276989,0.922634081883001,-1309.11284724337,29.1947167068482,0.00150210233115994,1.33333333333333,0.508537981580817,0.922634081883001,TRUE
"36","MPI",1,1,NA,NA,-1.38629436111969,NA,52.0402423538188,0,1,NA,-1.38629436111969,NA
"37","MPI",2,4,0.010551626851404,-0.0229978263156575,-2.17955265472617,-94.7721156256525,76.9273012070236,0.00659063029545702,2,1.60100421027672,-2.17955265472617,TRUE
"38","MPI",1,20,0.0292821879550052,-0.0341257640068758,-1.1654103190415,-34.1504535636679,62.0515195210824,0.0211662220450556,20,1.3834395147454,-1.1654103190415,TRUE
"39","MPI",10,20,-0.00395594739059411,0.0128644371392517,-3.25192321056617,252.783948132793,51.6487849123416,0.00329736097488246,2,1.19973136721409,-3.25192321056617,FALSE
"4","MPI",2,4,0.0045710319243898,-0.00517390903285027,-1.13189081118503,-218.768981827554,34.1179779519573,0.00580628475915236,2,0.787255898392608,-1.13189081118503,TRUE
"40","MPI",1,1,NA,NA,-2.26176309847379,NA,35.1212666650264,0,1,NA,-2.26176309847379,NA
"41","MPI",1,2,0.0197815639363357,-0.0339673681832156,-1.71712248296115,-50.5521203085036,72.6215215715988,0.0111363494432027,2,1.77630596428615,-1.71712248296115,TRUE
"42","MPI",1,2,0.0100496591319015,-0.0117599913229393,-1.17018807987313,-99.5058625247906,45.9327097415949,0.0108364746623781,2,0.927391928187842,-1.17018807987313,TRUE
"43","MPI",10,20,-0.00475655206695326,0.0152119908079035,-3.19811295950921,210.236319486047,61.4688871336576,0.00318894291690309,2,1.49157642231255,-3.19811295950921,FALSE
"44","MPI",1,2,0.0218395938813369,-0.0201848167580839,-0.924230407751903,-45.7883972308915,52.6676342441152,0.0116634871300063,2,1.8724754987855,-0.924230407751903,TRUE
"45","MPI",1,2,0.00580395620440503,-0.00632585310080032,-1.08992088810029,-172.296269093318,36.7372352556449,0.0103419991633718,2,0.561202540506953,-1.08992088810029,TRUE
"46","MPI",2,3,0.00720740398165276,-0.0171814583496755,-2.38386226072699,-138.746211887888,75.5786543562629,0.00420263681139541,1.5,1.71497188672358,-2.38386226072699,TRUE
"48","MPI",1,2,0.0108202670297851,-0.0217126040160481,-2.00666064490641,-92.4191609363511,72.0062575216897,0.0101322022987037,2,1.06790870442544,-2.00666064490641,TRUE
"49","MPI",1,14,0.040044349362353,-0.0579579431705213,-1.44734385983081,-24.9723123467735,71.7881302786024,0.0204684156463564,14,1.95639711711059,-1.44734385983081,TRUE
"5","MPI",1,20,0.0127176401895644,0.00783092487361072,0.615752982226723,-78.6309397887007,25.5517320837081,0.0177575441279039,20,0.71618237848443,0.615752982226723,TRUE
"50","MPI",1,3,0.0128554250138871,-0.0236908355203721,-1.84286676595912,-77.7881710577245,66.5825431487491,0.0136285387359286,3,0.943272441967434,-1.84286676595912,TRUE
