run_id,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,fitted_T,fitted_eps,beta0,beta1,std_X,aic,valid_mvt,n_decisions,n_fit,n_steps_total,config_alpha,config_beta,config_temp,config_l1,config_trav
run_2413_l1-0.0001_beta0.003_alpha0.2_trav50_blk1_temp0.003_eps-0.01,0.9632852144852581,0.9999991372819496,0.125,1,7,0.01706886705181374,-0.05576689022639637,-3.2671699918402366,-58.58619655097378,0.294143331561592,16195.854591960957,True,600000,50000,3478251,0.2,0.003,0.003,0.0001,50.0
run_2420_l1-0.0001_beta0.01_alpha0.03_trav50_blk1_temp0.003,0.9471208140769718,0.7330093914093898,0.002849002849002849,1,350,0.04827363392756393,-0.13928955722834835,-2.885416860005953,-20.71524181296421,0.1883217825749533,19695.4025468371,True,600000,50000,3280901,0.03,0.01,0.003,0.0001,50.0
run_2428_l1-0.0001_beta0.01_alpha0.2_trav50_blk1_temp0.003,0.8433810715728323,0.9999984194788039,0.009900990099009901,1,100,0.010784141749737264,-0.01815621610505486,-1.6836032506246685,-92.72875145807159,0.16257376443233748,29587.383088908533,True,600000,50000,7476401,0.2,0.01,0.003,0.0001,50.0
run_2435_l1-0.0005_beta0.0001_alpha0.01_trav50_blk1_temp0.005_eps-0.01,0.9886152156929553,0.007687425405691006,0.3333333333333333,1,2,0.7422367390173993,-3.3133651684156167,-4.464027437933042,-1.34727903838853,0.24910040267082395,6258.617585126002,True,600000,50000,940651,0.01,0.0001,0.005,0.0005,50.0
run_2442_l1-0.0005_beta0.0001_alpha0.1_trav50_blk1_temp0.005,0.8569263642661837,0.9999988428760397,0.00014283673760891302,1,7000,0.028497646689537554,-0.05101057553188568,-1.7899925593018662,-35.09061681107632,0.44134473810626196,28494.905922638594,True,600000,50000,7101251,0.1,0.0001,0.005,0.0005,50.0
run_244_l1-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.01_eps-0.01,0.9091351810796381,0.5137190122149029,0.00014283673760891302,1,7000,0.05682413292067402,-0.13087284823870463,-2.3031209014909555,-17.598156779549825,0.13604882824733608,28364.902216102833,True,600000,50000,4254851,0.03,0.0001,0.01,1e-05,50.0
run_2457_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp0.003_eps-0.01,0.9058539022671358,0.9999999958776927,0.09090909090909091,1,10,0.03341346951259747,-0.07564910507775559,-2.2640302303606794,-29.928050411615654,0.8420267879338729,26085.20547548814,True,600000,50000,6333051,0.1,0.001,0.003,0.0005,50.0
run_2464_l1-0.0005_beta0.003_alpha0.01_trav50_blk1_temp0.003,0.9917005606180574,0.0015844215363760572,0.3333333333333333,1,2,2.1465237336407563,-10.26732367175047,-4.783233239325001,-0.4658695286373017,0.2063059436808292,4838.221519254545,True,600000,50000,862001,0.01,0.003,0.003,0.0005,50.0
run_2471_l1-0.0005_beta0.003_alpha0.03_trav50_blk1_temp0.005_eps-0.01,0.9468291097098103,0.9449192654913857,0.00014283673760891302,1,7000,0.0890223709603704,-0.25634949161953297,-2.879607550934031,-11.2331315062948,0.509691481462126,20600.280865408215,True,600000,50000,3236401,0.03,0.003,0.005,0.0005,50.0
run_2479_l1-0.0005_beta0.003_alpha0.2_trav50_blk1_temp0.005_eps-0.01,0.8746412388840517,0.9998873237950716,0.09090909090909091,1,10,0.021662240091161147,-0.042081805724310334,-1.9426340741870454,-46.163277472306774,0.23945120255557684,29376.536045589928,True,600000,50000,8156401,0.2,0.003,0.005,0.0005,50.0
