run_id,numeric_id,beta,alpha,temp,reg_type,reg_value,travel,eps,norm_dist_network,cohort
run_2554_dist-1e-05_beta0.01_alpha0.1_trav50_blk1_temp0.005,2554,0.01,0.1,0.005,Distance,1e-05,50,0.0,0.815260214148145,C-reg
run_2534_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.005,2534,0.003,0.03,0.005,Distance,1e-05,50,0.0,0.8196676333342802,C-reg
run_2555_dist-1e-05_beta0.01_alpha0.1_trav50_blk1_temp0.005_eps-0.01,2555,0.01,0.1,0.005,Distance,1e-05,50,-0.01,0.8560459563865138,C-reg
run_2969_dist-1e-05_beta0.001_alpha0.1_trav500_blk1_temp0.003_eps-0.01,2969,0.001,0.1,0.003,Distance,1e-05,500,-0.01,0.8105586862989723,C-reg
run_2957_dist-1e-05_beta0.0001_alpha0.2_trav500_blk1_temp0.003_eps-0.01,2957,0.0001,0.2,0.003,Distance,1e-05,500,-0.01,0.8440831589287285,C-reg
run_2548_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp0.003,2548,0.01,0.03,0.003,Distance,1e-05,50,0.0,0.8124241379540835,C-reg
run_2543_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp0.005_eps-0.01,2543,0.003,0.2,0.005,Distance,1e-05,50,-0.01,0.7809134091942449,C-reg
run_2550_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp0.005,2550,0.01,0.03,0.005,Distance,1e-05,50,0.0,0.8293626971480069,C-reg
run_2955_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp0.005_eps-0.01,2955,0.0001,0.1,0.005,Distance,1e-05,500,-0.01,0.8127867478299088,C-reg
run_2556_dist-1e-05_beta0.01_alpha0.2_trav50_blk1_temp0.003,2556,0.01,0.2,0.003,Distance,1e-05,50,0.0,0.8264334770256302,C-reg
run_2538_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.005,2538,0.003,0.1,0.005,Distance,1e-05,50,0.0,0.8228442844110283,C-reg
