run_id,cohort,poli.dm1,poli.antidm1,poli.dlydm1,poli.antidlydm1,poli.dlyms,poli.dlynms
run_647_dist-1e-05_beta0.001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,0.9559247722403416,0.9798021761778414,0.8584422805068429,0.8752813364568854,0.999687060519356,0.999991615992396
run_649_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp0.001,C-reg,0.9558605478580257,0.9571535567937666,0.8519259223517306,0.7790356321700489,0.9926617923556372,0.9272462039094352
run_653_dist-1e-05_beta0.003_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,0.9580541801232044,0.9555332679851614,0.8793648257025368,0.8741804834646606,0.9506974147058426,0.9983485500437436
run_659_dist-1e-05_beta0.003_alpha0.03_trav500_blk1_temp1.0_eps-0.01,C-both,0.9347321770616422,0.94484697441402,0.8456136049295139,0.8543996085119894,0.9957905733548864,0.970744144387448
run_665_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,0.9378767314952078,0.9791379037822292,0.8175924791693027,0.8111147304341275,0.9952907661904834,0.9998095750815053
run_1158_dist-1e-05_beta0.0001_alpha0.2_trav50_blk1_temp1.0,C-both,0.971985100132394,0.9712352784418562,0.8604749437793394,0.8821423766983814,0.9982937861205464,0.9974743452184368
run_1190_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp1.0,C-both,0.9587652373051964,0.958519486769913,0.8141153770532594,0.8461740982035435,0.9993497850383108,0.995974135959714
run_1191_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp1.0_eps-0.01,C-both,0.947021934261798,0.9742073036580872,0.8729163679874763,0.8635248617594585,0.9896051880739324,0.966109679669893
run_1210_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp1.0,C-both,0.9626555338816728,0.968211998043248,0.768162533623559,0.8930416084882866,0.9988015001115076,0.984856826813185
run_1211_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp1.0_eps-0.01,C-both,0.9353894819101078,0.9621447131638684,0.8806168943472708,0.8484244809578745,0.9932605790708364,0.9984121158448848
